gameid,blue_datacompleteness,blue_url,league,blue_year,blue_split,blue_playoffs,date,blue_game,blue_patch,blue_participantid,blue_side,blue_position,blue_playername,blue_playerid,blue_teamname,blue_teamid,blue_champion,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,blue_gamelength,blue_result,blue_kills,blue_deaths,blue_assists,blue_teamkills,blue_teamdeaths,blue_doublekills,blue_triplekills,blue_quadrakills,blue_pentakills,blue_firstblood,blue_firstbloodkill,blue_firstbloodassist,blue_firstbloodvictim,blue_team kpm,blue_ckpm,blue_firstdragon,blue_dragons,blue_opp_dragons,blue_elementaldrakes,blue_opp_elementaldrakes,blue_infernals,blue_mountains,blue_clouds,blue_oceans,blue_chemtechs,blue_hextechs,blue_dragons (type unknown),blue_elders,blue_opp_elders,blue_firstherald,blue_heralds,blue_opp_heralds,blue_void_grubs,blue_opp_void_grubs,blue_firstbaron,blue_barons,blue_opp_barons,blue_atakhans,blue_opp_atakhans,blue_firsttower,blue_towers,blue_opp_towers,blue_firstmidtower,blue_firsttothreetowers,blue_turretplates,blue_opp_turretplates,blue_inhibitors,blue_opp_inhibitors,blue_damagetochampions,blue_dpm,blue_damageshare,blue_damagetakenperminute,blue_damagemitigatedperminute,blue_damagetotowers,blue_wardsplaced,blue_wpm,blue_wardskilled,blue_wcpm,blue_controlwardsbought,blue_visionscore,blue_vspm,blue_totalgold,blue_earnedgold,blue_earned gpm,blue_earnedgoldshare,blue_goldspent,blue_gspd,blue_gpr,blue_total cs,blue_minionkills,blue_monsterkills,blue_monsterkillsownjungle,blue_monsterkillsenemyjungle,blue_cspm,blue_goldat10,blue_xpat10,blue_csat10,blue_opp_goldat10,blue_opp_xpat10,blue_opp_csat10,blue_golddiffat10,blue_xpdiffat10,blue_csdiffat10,blue_killsat10,blue_assistsat10,blue_deathsat10,blue_opp_killsat10,blue_opp_assistsat10,blue_opp_deathsat10,blue_goldat15,blue_xpat15,blue_csat15,blue_opp_goldat15,blue_opp_xpat15,blue_opp_csat15,blue_golddiffat15,blue_xpdiffat15,blue_csdiffat15,blue_killsat15,blue_assistsat15,blue_deathsat15,blue_opp_killsat15,blue_opp_assistsat15,blue_opp_deathsat15,blue_goldat20,blue_xpat20,blue_csat20,blue_opp_goldat20,blue_opp_xpat20,blue_opp_csat20,blue_golddiffat20,blue_xpdiffat20,blue_csdiffat20,blue_killsat20,blue_assistsat20,blue_deathsat20,blue_opp_killsat20,blue_opp_assistsat20,blue_opp_deathsat20,blue_goldat25,blue_xpat25,blue_csat25,blue_opp_goldat25,blue_opp_xpat25,blue_opp_csat25,blue_golddiffat25,blue_xpdiffat25,blue_csdiffat25,blue_killsat25,blue_assistsat25,blue_deathsat25,blue_opp_killsat25,blue_opp_assistsat25,blue_opp_deathsat25,red_datacompleteness,red_url,red_year,red_split,red_playoffs,red_game,red_patch,red_participantid,red_side,red_position,red_playername,red_playerid,red_teamname,red_teamid,red_champion,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,red_gamelength,red_result,red_kills,red_deaths,red_assists,red_teamkills,red_teamdeaths,red_doublekills,red_triplekills,red_quadrakills,red_pentakills,red_firstblood,red_firstbloodkill,red_firstbloodassist,red_firstbloodvictim,red_team kpm,red_ckpm,red_firstdragon,red_dragons,red_opp_dragons,red_elementaldrakes,red_opp_elementaldrakes,red_infernals,red_mountains,red_clouds,red_oceans,red_chemtechs,red_hextechs,red_dragons (type unknown),red_elders,red_opp_elders,red_firstherald,red_heralds,red_opp_heralds,red_void_grubs,red_opp_void_grubs,red_firstbaron,red_barons,red_opp_barons,red_atakhans,red_opp_atakhans,red_firsttower,red_towers,red_opp_towers,red_firstmidtower,red_firsttothreetowers,red_turretplates,red_opp_turretplates,red_inhibitors,red_opp_inhibitors,red_damagetochampions,red_dpm,red_damageshare,red_damagetakenperminute,red_damagemitigatedperminute,red_damagetotowers,red_wardsplaced,red_wpm,red_wardskilled,red_wcpm,red_controlwardsbought,red_visionscore,red_vspm,red_totalgold,red_earnedgold,red_earned gpm,red_earnedgoldshare,red_goldspent,red_gspd,red_gpr,red_total cs,red_minionkills,red_monsterkills,red_monsterkillsownjungle,red_monsterkillsenemyjungle,red_cspm,red_goldat10,red_xpat10,red_csat10,red_opp_goldat10,red_opp_xpat10,red_opp_csat10,red_golddiffat10,red_xpdiffat10,red_csdiffat10,red_killsat10,red_assistsat10,red_deathsat10,red_opp_killsat10,red_opp_assistsat10,red_opp_deathsat10,red_goldat15,red_xpat15,red_csat15,red_opp_goldat15,red_opp_xpat15,red_opp_csat15,red_golddiffat15,red_xpdiffat15,red_csdiffat15,red_killsat15,red_assistsat15,red_deathsat15,red_opp_killsat15,red_opp_assistsat15,red_opp_deathsat15,red_goldat20,red_xpat20,red_csat20,red_opp_goldat20,red_opp_xpat20,red_opp_csat20,red_golddiffat20,red_xpdiffat20,red_csdiffat20,red_killsat20,red_assistsat20,red_deathsat20,red_opp_killsat20,red_opp_assistsat20,red_opp_deathsat20,red_goldat25,red_xpat25,red_csat25,red_opp_goldat25,red_opp_xpat25,red_opp_csat25,red_golddiffat25,red_xpdiffat25,red_csdiffat25,red_killsat25,red_assistsat25,red_deathsat25,red_opp_killsat25,red_opp_assistsat25,red_opp_deathsat25
12636-12636_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12636,LPL,2025,Split 3,0,2025-08-24 09:12:37,1,15.16,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Viego,Gwen,Pantheon,Xin Zhao,Nautilus,Rumble,Jarvan IV,Orianna,Sivir,Alistar,1465,1,27,2,63,27,2,,,,,1.0,,,,1.1058,1.1877,1.0,3.0,0.0,,,,,,,,,3.0,,,,1.0,0.0,0.0,3.0,,0.0,0.0,,,1.0,8.0,0.0,,,,,1.0,0.0,68919,2822.6212,,2782.4027,,,98,4.0137,35,1.4334,37,219,8.9693,53789,37468,1534.5256,,46130,0.272554,,,,178,112.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12636,2025,Split 3,0,1,15.16,200,Red,team,,,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,,Vi,Varus,Wukong,Rakan,Braum,Taliyah,Yunara,Ornn,Rell,Lee Sin,1465,0,2,27,3,2,27,,,,,0.0,,,,0.0819,1.1877,0.0,0.0,3.0,,,,,,,,,0.0,,,,0.0,1.0,3.0,0.0,,0.0,0.0,,,0.0,0.0,8.0,,,,,0.0,1.0,36972,1514.2116,,3556.8737,,,81,3.3174,29,1.1877,29,168,6.8805,36111,19790,810.5119,,35065,-0.272554,,,,128,93.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12632-12632_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12632,LPL,2025,Split 3,0,2025-08-22 12:02:45,2,15.16,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Yone,Gwen,Trundle,Braum,Rakan,Sion,Kai'Sa,Alistar,Aurora,Skarner,1654,0,6,22,16,6,22,,,,,0.0,,,,0.2177,1.0157,0.0,1.0,3.0,,,,,,,,,1.0,,,,1.0,0.0,3.0,0.0,,0.0,1.0,,,0.0,2.0,6.0,,,,,0.0,1.0,54346,1971.4389,,4178.5248,,,84,3.0472,30,1.0883,30,203,7.364,45687,27438,995.3325,,44634,-0.0344588,,,,190,147.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12632,2025,Split 3,0,2,15.16,200,Red,team,,,LGD Gaming,oe:team:5f401785b6b78326f9a46b3c6b206ed,,Pantheon,Yunara,Azir,Poppy,Nocturne,Ambessa,Galio,Vi,Kalista,Renata Glasc,1654,1,22,6,65,22,6,,,,,1.0,,,,0.7981,1.0157,1.0,3.0,1.0,,,,,,,,,3.0,,,,0.0,1.0,0.0,3.0,,1.0,0.0,,,1.0,6.0,2.0,,,,,1.0,0.0,89732,3255.0907,,3206.5538,,,87,3.156,35,1.2696,37,218,7.9081,55643,37394,1356.4933,,46199,0.0344588,,,,196,128.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12632-12632_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12632,LPL,2025,Split 3,0,2025-08-22 11:08:07,1,15.16,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Yone,Gwen,Azir,Ahri,Ryze,Varus,Xin Zhao,Taliyah,Ornn,Nautilus,1885,0,12,27,30,12,27,,,,,1.0,,,,0.382,1.2414,0.0,0.0,4.0,,,,,,,,,0.0,,,,0.0,1.0,1.0,2.0,,0.0,1.0,,,0.0,3.0,8.0,,,,,0.0,1.0,69872,2224.0424,,4130.6737,,,112,3.565,43,1.3687,39,253,8.0531,54554,33949,1080.6048,,53299,-0.0607792,,,,186,146.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12632,2025,Split 3,0,1,15.16,200,Red,team,,,LGD Gaming,oe:team:5f401785b6b78326f9a46b3c6b206ed,,Pantheon,Poppy,Annie,Rell,Alistar,Rumble,Wukong,Sivir,Neeko,Sylas,1885,1,27,12,67,27,12,,,,,0.0,,,,0.8594,1.2414,1.0,4.0,0.0,,,,,,,,,4.0,,,,1.0,0.0,2.0,1.0,,1.0,0.0,,,1.0,8.0,3.0,,,,,1.0,0.0,100866,3210.5889,,3456.1592,,,101,3.2149,45,1.4324,42,268,8.5305,64288,43683,1390.4403,,56640,0.0607792,,,,240,141.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12614-12614_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=12614,LPL,2025,Split 3,0,2025-08-14 11:09:02,3,15.15,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Galio,Rumble,Aurora,Kai'Sa,Ezreal,Pantheon,Viktor,Renekton,Draven,Renata Glasc,1739,0,10,26,21,10,26,,,,,1.0,,,,0.345,1.2421,0.0,1.0,3.0,,,,,,,,,1.0,,,,0.0,1.0,1.0,2.0,,0.0,1.0,,,0.0,1.0,8.0,,,,,0.0,1.0,86552,2986.268,,4595.5032,,,97,3.3468,33,1.1386,35,207,7.142,49069,29953,1033.456,,47180,-0.132668,,,,181,147.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12614,2025,Split 3,0,3,15.15,200,Red,team,,,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,,Trundle,Varus,Yunara,Rakan,Lucian,Skarner,Aatrox,Akali,Jhin,Neeko,1739,1,26,11,71,26,11,,,,,0.0,,,,0.8971,1.2421,1.0,3.0,1.0,,,,,,,,,3.0,,,,1.0,0.0,2.0,1.0,,1.0,0.0,,,1.0,8.0,1.0,,,,,1.0,0.0,99012,3416.1702,,3880.2645,,,93,3.2087,52,1.7941,38,266,9.1777,60523,41407,1428.6486,,53884,0.132668,,,,213,139.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12606-12606_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12606,LPL,2025,Split 3,0,2025-08-10 10:11:33,2,15.15,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Annie,Ryze,Gwen,Renekton,Sion,Yunara,Wukong,Nautilus,Orianna,Aatrox,1676,1,20,10,53,20,10,,,,,1.0,,,,0.716,1.074,1.0,4.0,0.0,,,,,,,,,4.0,,,,0.0,1.0,1.0,2.0,,1.0,0.0,,,1.0,10.0,1.0,,,,,2.0,0.0,96791,3465.0716,,3257.685,,,86,3.0788,46,1.6468,32,221,7.9117,61132,42659,1527.1718,,52210,0.131499,,,,226,156.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12606,2025,Split 3,0,2,15.15,200,Red,team,,,ThunderTalk Gaming,oe:team:df80f468a3f9a722df056fe9104f052,,Pantheon,Taliyah,Varus,Ornn,Ambessa,Xin Zhao,Aphelios,Renata Glasc,Sylas,Poppy,1676,0,10,20,26,10,20,,,,,0.0,,,,0.358,1.074,0.0,0.0,4.0,,,,,,,,,0.0,,,,1.0,0.0,2.0,1.0,,0.0,1.0,,,0.0,1.0,10.0,,,,,0.0,2.0,61982,2218.926,,4562.2554,,,84,3.0072,36,1.2888,36,196,7.0167,47616,29143,1043.3055,,45768,-0.131499,,,,184,158.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12571-12571_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12571,LPL,2025,Split 3,0,2025-07-25 09:13:34,1,15.14,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Vi,Senna,Annie,Jhin,Sivir,Varus,Trundle,Taliyah,Rell,Sion,1626,1,24,2,64,24,2,,,,,1.0,,,,0.8856,0.9594,0.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,0.0,1.0,2.0,,0.0,0.0,,,1.0,8.0,2.0,,,,,1.0,0.0,76277,2814.6494,,3153.6531,,,98,3.6162,44,1.6236,32,253,9.3358,56989,39026,1440.0738,,48427,0.17254,,,,180,132.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12571,2025,Split 3,0,1,15.14,200,Red,team,,,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,,Azir,Gwen,Pantheon,Ambessa,K'Sante,Xin Zhao,Ryze,Rumble,Ezreal,Braum,1626,0,2,24,4,2,24,,,,,0.0,,,,0.0738,0.9594,1.0,2.0,2.0,,,,,,,,,2.0,,,,0.0,1.0,2.0,1.0,,0.0,0.0,,,0.0,2.0,8.0,,,,,0.0,1.0,44878,1656.0148,,3772.4354,,,89,3.2841,42,1.5498,31,227,8.3764,43081,25118,926.8635,,40735,-0.17254,,,,178,131.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12561-12561_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12561,LPL,2025,Split 3,0,2025-07-20 09:13:33,1,15.14,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Rumble,Vi,Azir,Lucian,Ezreal,Taliyah,Xin Zhao,Gwen,Rell,Jhin,1738,1,20,6,51,20,6,,,,,1.0,,,,0.6904,0.8976,0.0,2.0,2.0,,,,,,,,,2.0,,,,0.0,1.0,3.0,0.0,,1.0,0.0,,,1.0,11.0,3.0,,,,,3.0,0.0,77458,2674.0391,,3086.7549,,,106,3.6594,60,2.0713,36,280,9.6663,62541,43435,1499.4822,,55394,0.18927,,,,222,160.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12561,2025,Split 3,0,1,15.14,200,Red,team,,,ThunderTalk Gaming,oe:team:df80f468a3f9a722df056fe9104f052,,Pantheon,Annie,Varus,Nautilus,Poppy,Ryze,Trundle,Jax,Xayah,Rakan,1738,0,6,20,12,6,20,,,,,0.0,,,,0.2071,0.8976,1.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,0.0,0.0,3.0,,0.0,1.0,,,0.0,3.0,11.0,,,,,0.0,3.0,40066,1383.1761,,3664.3843,,,110,3.7975,43,1.4845,36,249,8.5961,49277,30171,1041.5765,,45816,-0.18927,,,,180,138.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12558-12558_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12558,LPL,2025,Split 3,0,2025-07-19 07:13:52,1,15.14,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Gwen,Vi,Galio,Jhin,Ezreal,Annie,Xin Zhao,Varus,Rell,K'Sante,2117,1,15,10,35,15,10,,,,,0.0,,,,0.4251,0.7085,1.0,4.0,1.0,,,,,,,,,4.0,,,,1.0,0.0,0.0,3.0,,1.0,0.0,,,1.0,9.0,3.0,,,,,2.0,0.0,84138,2384.6386,,3591.2707,,,120,3.401,60,1.7005,37,318,9.0128,65685,42714,1210.5999,,59087,0.00570274,,,,258,182.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12558,2025,Split 3,0,1,15.14,200,Red,team,,,Ultra Prime,oe:team:8d09428f093dfbf3c488bce350af0b1,,Azir,Pantheon,Taliyah,Ornn,Braum,Rumble,Wukong,Ryze,Alistar,Sivir,2117,0,10,15,24,10,15,,,,,1.0,,,,0.2834,0.7085,0.0,1.0,4.0,,,,,,,,,1.0,,,,0.0,1.0,3.0,0.0,,0.0,1.0,,,0.0,3.0,9.0,,,,,0.0,2.0,69077,1957.7799,,3117.7893,,,131,3.7128,41,1.162,49,268,7.5957,61949,38978,1104.7142,,58751,-0.00570274,,,,224,181.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12423-12423_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=12423,LPL,2025,Split 2,1,2025-05-24 11:15:11,3,15.1,100,Blue,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Gwen,Poppy,Nidalee,Karma,Lulu,Pantheon,Lucian,Nami,Aatrox,Aurora,2830,0,24,29,61,24,29,,,,,0.0,,,,0.5088,1.1237,1.0,3.0,4.0,,,,,,,,,3.0,,,,1.0,0.0,0.0,3.0,,0.0,2.0,,,1.0,6.0,10.0,,,,,1.0,3.0,173289,3673.9717,,4506.5088,,,152,3.2226,53,1.1237,62,392,8.311,83466,53222,1128.3816,,80058,-0.0172866,,,,278,190.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12423,2025,Split 2,1,3,15.1,200,Red,team,,,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,,Azir,Lillia,Taliyah,Viktor,Ornn,Sion,Akali,Skarner,Kalista,Neeko,2830,1,29,24,77,29,24,,,,,1.0,,,,0.6148,1.1237,0.0,4.0,3.0,,,,,,,,,4.0,,,,0.0,1.0,3.0,0.0,,2.0,0.0,,,0.0,10.0,6.0,,,,,3.0,1.0,167311,3547.2297,,4585.2721,,,141,2.9894,58,1.2297,49,379,8.0353,91129,60885,1290.8481,,81454,0.0172866,,,,323,216.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12796-12796_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,LPL,2025,Split 3,1,2025-08-31 11:29:06,3,15.16,100,Blue,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Gwen,Poppy,Galio,Rakan,Renata Glasc,Wukong,Alistar,Corki,Sion,Ziggs,1456,1,17,0,48,17,0,,,,,1.0,,,,0.7005,0.7005,0.0,2.0,1.0,,,,,,,,,2.0,,,,0.0,1.0,3.0,0.0,,0.0,0.0,,,1.0,9.0,0.0,,,,,1.0,0.0,61483,2533.6401,,2934.8489,,,81,3.3379,31,1.2775,32,192,7.9121,49056,32827,1352.761,,40051,0.161006,,,,152,107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,2025,Split 3,1,3,15.16,200,Red,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Azir,Skarner,Annie,Renekton,Aatrox,Akali,Pantheon,Ambessa,Ezreal,Bard,1456,0,0,17,0,0,17,,,,,0.0,,,,0.0,0.7005,1.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,0.0,0.0,3.0,,0.0,0.0,,,0.0,0.0,9.0,,,,,0.0,1.0,44652,1840.0549,,3540.5357,,,82,3.3791,36,1.4835,30,190,7.8297,35977,19748,813.7912,,34083,-0.161006,,,,152,111.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12796-12796_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,LPL,2025,Split 3,1,2025-08-31 10:36:50,2,15.16,100,Blue,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Gwen,Annie,Wukong,Alistar,Akali,Varus,Trundle,Yorick,Leona,Taliyah,1779,0,12,22,23,12,22,,,,,0.0,,,,0.4047,1.1467,0.0,1.0,3.0,,,,,,,,,1.0,,,,0.0,1.0,0.0,3.0,,0.0,1.0,,,0.0,3.0,8.0,,,,,0.0,1.0,56392,1901.9224,,3521.1804,,,108,3.6425,50,1.6863,49,268,9.0388,53562,34038,1147.9933,,51038,-0.070707,,,,194,150.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,2025,Split 3,1,2,15.16,200,Red,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Azir,Skarner,Poppy,Renata Glasc,Braum,Jarvan IV,Sivir,Jax,Nautilus,Ahri,1779,1,22,12,65,22,12,,,,,1.0,,,,0.742,1.1467,1.0,3.0,1.0,,,,,,,,,3.0,,,,1.0,0.0,3.0,0.0,,1.0,0.0,,,1.0,8.0,3.0,,,,,1.0,0.0,76993,2596.7285,,3306.8465,,,107,3.6088,49,1.6526,39,243,8.1956,62022,42498,1433.3221,,54779,0.070707,,,,208,151.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12796-12796_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,LPL,2025,Split 3,1,2025-08-31 09:39:33,1,15.16,100,Blue,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Trundle,Varus,Annie,Gwen,Ambessa,Rumble,Yunara,Rell,Aurora,Vi,1808,0,14,26,39,14,26,,,,,0.0,,,,0.4646,1.3274,0.0,0.0,4.0,,,,,,,,,0.0,,,,0.0,1.0,3.0,0.0,,0.0,1.0,,,1.0,3.0,7.0,,,,,0.0,1.0,84409,2801.1836,,3672.2788,,,103,3.4181,57,1.8916,44,279,9.2588,50793,30973,1027.865,,49218,-0.0464202,,,,166,134.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12796,2025,Split 3,1,1,15.16,200,Red,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Azir,Skarner,Poppy,Pantheon,Wukong,Xin Zhao,Neeko,Kai'Sa,Ornn,Ryze,1808,1,26,14,73,26,14,,,,,1.0,,,,0.8628,1.3274,1.0,4.0,0.0,,,,,,,,,4.0,,,,1.0,0.0,0.0,3.0,,1.0,0.0,,,0.0,7.0,3.0,,,,,1.0,0.0,87163,2892.5774,,3965.7743,,,116,3.8496,51,1.6925,40,264,8.7611,61752,41932,1391.5487,,51557,0.0464202,,,,210,135.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12636-12636_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12636,LPL,2025,Split 3,0,2025-08-24 09:59:37,2,15.16,100,Blue,team,,,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,,Xin Zhao,Varus,Vi,Rakan,Neeko,Azir,Pantheon,Sion,Lucian,Braum,1961,0,8,34,15,8,34,,,,,1.0,,,,0.2448,1.2851,0.0,0.0,4.0,,,,,,,,,0.0,,,,1.0,0.0,0.0,3.0,,0.0,1.0,,,1.0,3.0,11.0,,,,,0.0,3.0,88270,2700.7649,,5019.9898,,,113,3.4574,32,0.9791,45,244,7.4656,50413,29033,888.3121,,47827,-0.1882,,,,184,151.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12636,2025,Split 3,0,2,15.16,200,Red,team,,,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,,Gwen,Viego,Wukong,Poppy,Xayah,Trundle,Akali,Ambessa,Nautilus,Senna,1961,1,34,8,91,34,8,,,,,0.0,,,,1.0403,1.2851,1.0,4.0,0.0,,,,,,,,,4.0,,,,0.0,1.0,3.0,0.0,,1.0,0.0,,,0.0,11.0,3.0,,,,,3.0,0.0,131315,4017.797,,4096.8587,,,109,3.335,45,1.3768,48,272,8.3223,69606,48226,1475.5533,,57763,0.1882,,,,234,146.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
